date,contract,contract_month,session,open,high,low,last,change,change_percent,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2020-01-06,TX,202012,Regular,11523,11536,11458,11458,-134,-1.16,57,11458,182,11457,11461,11688,11458
2020-01-06,TX,202012,After-Hours,11597,11597,11545,11555,-37,-0.32,10,,,11547,11551,11688,11462
2020-01-07,TX,202001,Regular,11995,12009,11816,11871,-78,-0.65,157264,11871,82993,11871,11872,12198,11070
2020-01-07,TX,202001,After-Hours,11938,11978,11901,11976,27,0.23,38896,,,11976,11978,12198,11070
2020-01-07,TX,202002,Regular,11985,11997,11807,11860,-78,-0.65,4022,11860,4745,11859,11861,12183,11383
2020-01-07,TX,202002,After-Hours,11924,11968,11892,11968,30,0.25,1024,,,11964,11966,12183,11383
2020-01-07,TX,202003,Regular,11962,11979,11795,11848,-75,-0.63,418,11846,2717,11844,11848,12166,9756
2020-01-07,TX,202003,After-Hours,11907,11950,11880,11950,27,0.23,145,,,11948,11951,12166,9756
2020-01-07,TX,202006,Regular,11932,11932,11751,11800,-78,-0.66,90,11800,924,11799,11802,12115,9919
2020-01-07,TX,202006,After-Hours,11847,11900,11837,11900,22,0.19,13,,,11901,11907,12115,9919
2020-01-07,TX,202009,Regular,11560,11564,11382,11431,-80,-0.69,100,11431,615,11430,11435,11739,10270
2020-01-07,TX,202009,After-Hours,11492,11503,11462,11499,-12,-0.1,26,,,11533,11538,11739,10270
2020-01-07,TX,202012,Regular,11513,11513,11334,11387,-71,-0.62,67,11387,198,11382,11388,11688,11334
2020-01-07,TX,202012,After-Hours,11429,11452,11416,11419,-39,-0.34,12,,,11483,11487,11688,11416
2020-01-08,TX,202001,Regular,11728,11892,11697,11788,-83,-0.7,158971,11788,81175,11787,11788,12198,11070
2020-01-08,TX,202001,After-Hours,11867,11911,11845,11908,37,0.31,36974,,,11906,11910,12198,11070
2020-01-08,TX,202002,Regular,11719,11875,11688,11773,-87,-0.73,4845,11773,6671,11773,11774,12183,11383
2020-01-08,TX,202002,After-Hours,11856,11899,11836,11899,39,0.33,837,,,11894,11899,12183,11383
2020-01-08,TX,202003,Regular,11708,11854,11675,11756,-90,-0.76,504,11757,2888,11756,11759,12166,9756
2020-01-08,TX,202003,After-Hours,11839,11880,11822,11880,34,0.29,88,,,11879,11884,12166,9756
2020-01-08,TX,202006,Regular,11659,11810,11631,11714,-86,-0.73,106,11714,909,11708,11713,12115,9919
2020-01-08,TX,202006,After-Hours,11789,11830,11777,11830,30,0.25,16,,,11833,11840,12115,9919
2020-01-08,TX,202009,Regular,11294,11437,11261,11348,-83,-0.73,99,11348,598,11338,11342,11739,10270
2020-01-08,TX,202009,After-Hours,11418,11466,11405,11466,35,0.31,41,,,11464,11469,11739,10270
2020-01-08,TX,202012,Regular,11233,11390,11233,11295,-92,-0.81,37,11295,204,11291,11295,11688,11233
2020-01-08,TX,202012,After-Hours,11365,11414,11365,11414,27,0.24,9,,,11417,11425,11688,11334
2020-01-09,TX,202001,Regular,11919,11998,11883,11968,180,1.53,115014,11969,80949,11968,11970,12198,11070
2020-01-09,TX,202001,After-Hours,11808,11920,11804,11898,110,0.93,42405,,,11896,11899,12198,11070
2020-01-09,TX,202002,Regular,11900,11980,11869,11958,185,1.57,7530,11956,10884,11955,11958,12183,11383
2020-01-09,TX,202002,After-Hours,11797,11903,11788,11881,108,0.92,1529,,,11879,11882,12183,11383
2020-01-09,TX,202003,Regular,11884,11964,11855,11941,184,1.57,510,11941,3100,11938,11942,12166,9756
2020-01-09,TX,202003,After-Hours,11779,11887,11779,11866,109,0.93,163,,,11863,11867,12166,9756
