date,daily_points,cumulative_points
2020-05-22,-209,-1025.1499399999996
2020-05-25,77,-948.1499399999996
2020-05-26,163,-785.1499399999996
2020-05-27,-11,-796.1499399999996
2020-05-28,-62,-858.1499399999996
2020-05-29,8,-850.1499399999996
2020-06-01,138,-712.1499399999996
2020-06-02,50,-662.1499399999996
2020-06-03,176,-486.14993999999956
2020-06-04,75,-411.14993999999956
2020-06-05,99,-312.14993999999956
2020-06-08,113,-199.14993999999956
2020-06-09,36,-163.14993999999956
2020-06-10,98,-65.14993999999956
2020-06-11,-213,-278.14993999999956
2020-06-12,-100,-378.14993999999956
2020-06-15,-166,-544.1499399999996
2020-06-16,294.04684,-250.10309999999959
2020-06-17,30,-220.10309999999959
2020-06-18,36,-184.10309999999959
2020-06-19,14,-170.10309999999959
2020-06-22,12,-158.10309999999959
2020-06-23,35,-123.10309999999959
2020-06-24,67,-56.103099999999586
2020-06-29,-160,-216.10309999999959
2020-06-30,107,-109.10309999999959
2020-07-01,74,-35.103099999999586
2020-07-02,151,115.89690000000041
2020-07-03,139,254.89690000000041
2020-07-06,233,487.8969000000004
2020-07-07,-39,448.8969000000004
2020-07-08,98,546.8969000000004
2020-07-09,23,569.8969000000004
2020-07-10,-154,415.8969000000004
2020-07-13,209,624.8969000000004
2020-07-14,-18.9812,605.9157000000005
2020-07-15,54,659.9157000000005
2020-07-16,-55,604.9157000000005
2020-07-17,10,614.9157000000005
2020-07-20,-6,608.9157000000005
2020-07-21,255,863.9157000000005
2020-07-22,44,907.9157000000005
2020-07-23,-45,862.9157000000005
2020-07-24,-137,725.9157000000005
2020-07-27,348,1073.9157000000005
2020-07-28,-44,1029.9157000000005
2020-07-29,-33,996.9157000000005
2020-07-30,174,1170.9157000000005
2020-07-31,-19,1151.9157000000005
2020-08-03,-136,1015.9157000000005
2020-08-04,189,1204.9157000000005
2020-08-05,112,1316.9157000000005
2020-08-06,95,1411.9157000000005
2020-08-07,-77,1334.9157000000005
2020-08-10,95,1429.9157000000005
2020-08-11,-119,1310.9157000000005
2020-08-12,-80,1230.9157000000005
2020-08-13,70,1300.9157000000005
2020-08-14,64,1364.9157000000005
2020-08-17,164,1528.9157000000005
2020-08-18,-79.01324,1449.9024600000005
2020-08-19,-82,1367.9024600000005
2020-08-20,-451,916.9024600000005
2020-08-21,253,1169.9024600000005
2020-08-24,52,1221.9024600000005
2020-08-25,132,1353.9024600000005
2020-08-26,60,1413.9024600000005
2020-08-27,-37,1376.9024600000005
2020-08-28,-70,1306.9024600000005
2020-08-31,-99,1207.9024600000005
2020-09-01,99,1306.9024600000005
2020-09-02,2,1308.9024600000005
2020-09-03,44,1352.9024600000005
2020-09-04,-127,1225.9024600000005
2020-09-07,-27,1198.9024600000005
2020-09-08,87,1285.9024600000005
2020-09-09,-69,1216.9024600000005
2020-09-10,100,1316.9024600000005
2020-09-11,-35,1281.9024600000005
2020-09-14,121,1402.9024600000005
2020-09-15,55.98872,1458.8911800000005
2020-09-16,121,1579.8911800000005
2020-09-17,-88,1491.8911800000005
2020-09-18,18,1509.8911800000005
2020-09-21,-174,1335.8911800000005
2020-09-22,-150,1185.8911800000005
2020-09-23,19,1204.8911800000005
2020-09-24,-348,856.8911800000005
2020-09-25,15,871.8911800000005
2020-09-28,220,1091.8911800000005
2020-09-29,6,1097.8911800000005
2020-09-30,52,1149.8911800000005
2020-10-05,56,1205.8911800000005
2020-10-06,148,1353.8911800000005
2020-10-07,77,1430.8911800000005
2020-10-08,119,1549.8911800000005
2020-10-12,48,1597.8911800000005
2020-10-13,-6,1591.8911800000005
2020-10-14,-25,1566.8911800000005
2020-10-15,-50,1516.8911800000005
2020-10-16,-92,1424.8911800000005
2020-10-19,145,1569.8911800000005
2020-10-20,-41.011160000000004,1528.8800200000005
2020-10-21,29,1557.8800200000005
2020-10-22,28,1585.8800200000005
2020-10-23,2,1587.8800200000005
2020-10-26,22,1609.8800200000005
2020-10-27,-52,1557.8800200000005
2020-10-28,-65,1492.8800200000005
2020-10-29,-140,1352.8800200000005
2020-10-30,-190,1162.8800200000005
2020-11-02,103,1265.8800200000005
2020-11-03,168,1433.8800200000005
2020-11-04,180,1613.8800200000005
2020-11-05,27,1640.8800200000005
2020-11-06,46,1686.8800200000005
2020-11-09,189,1875.8800200000005
2020-11-10,-55,1820.8800200000005
2020-11-11,190,2010.8800200000005
2020-11-12,-35,1975.8800200000005
2020-11-13,56,2031.8800200000005
2020-11-16,297,2328.8800200000005
2020-11-17,41.9566,2370.8366200000005
2020-11-18,132,2502.8366200000005
2020-11-19,25,2527.8366200000005
2020-11-20,-9,2518.8366200000005
2020-11-23,140,2658.8366200000005
2020-11-24,-74,2584.8366200000005
2020-11-25,-87,2497.8366200000005
2020-11-26,127,2624.8366200000005
2020-11-27,39,2663.8366200000005
2020-11-30,-158,2505.8366200000005
2020-12-01,155,2660.8366200000005
2020-12-02,80,2740.8366200000005
2020-12-03,27,2767.8366200000005
2020-12-04,151,2918.8366200000005
2020-12-07,87,3005.8366200000005
